feature,importance
and coutts,0.0008100446116272533
streaming,0.0008094911435674126
tesco abandons,0.000809318020456141
in stress,0.0008077811924038801
total,0.0008075065133113415
shell plan,0.0008063823807941096
cadbury and,0.0008061144843420222
for astrazeneca,0.0008054013800984228
johnson matthey,0.0008053092506020723
quarter sales,0.000803219316315997
britvic in,0.0008031135272961059
corp,0.0007986017774765905
claims,0.0007978061339577584
cadbury,0.0007971887195858892
ingenious hsbc,0.0007969593405396939
and britvic,0.0007964138144517137
entertainment one,0.0007957360695222933
joins,0.0007950569127856179
fears,0.0007950070883933752
off packs,0.0007943740844553056
deutsche boerse,0.0007940337022788303
by tax,0.0007932810197337211
berkshire hathaway,0.0007931426966242812
update sabmiller,0.0007921382558308458
pressure,0.000791984995391277
hathaway,0.0007915585973507862
goldman sachs,0.000790880173659171
extends gas,0.0007904366456748895
philip,0.0007901875612681535
alior bank,0.0007894656373421856
barclays and,0.0007887273577388156
50,0.0007881472423348935
motiva,0.0007873858591104891
it bids,0.0007861566690020973
test,0.0007840637607565914
ambitions in,0.0007824952836048851
tobacco,0.0007819269602832266
pay,0.0007817267532524168
ups,0.000781274411864303
following,0.0007804117324304504
plans,0.0007798456090673163
sued by,0.0007785876326782895
irish,0.0007760568109782642
numbers aer,0.0007760052842386065
auto,0.0007748591818914109
boerse,0.0007739936696823944
gardner ex,0.000773915510475305
surprise,0.0007732435915288171
product affects,0.0007728945645654984
with morrisons,0.0007725989953205381
barratt,0.00077002066237207
irregularities involving,0.0007696422053959309
bounces back,0.0007689273615040657
and bank,0.0007687124790981225
bp statoil,0.0007684877514992178
discounters,0.0007679216922105779
spill,0.000767843481023326
fall as,0.0007666554508653816
teams,0.0007658689547842623
leap,0.0007655058879849761
gain after,0.0007653160463563294
stress tests,0.0007652748993309123
aramco shell,0.0007652361667518861
chairman ft,0.0007652086225407052
slumps,0.00076502405819394
philippines san,0.0007649121305109605
up as,0.0007639537901259971
sell movantik,0.0007627611713884926
investors,0.0007626691885294547
soar,0.0007606978332386163
passengers,0.0007601696149136391
and barratt,0.0007600760224387681
bank bph,0.0007595310774257311
grocery,0.0007586440219009783
unit sale,0.0007585879067721064
onemain to,0.0007580734050372219
blockchain in,0.0007576788763077455
underlying sales,0.0007576046565179365
boosted,0.0007566982146275467
climb,0.0007544693077836109
and admiral,0.0007543240528812536
bids for,0.0007533119488079092
lloyds banking,0.0007528542429568172
commercialise,0.0007503112059968808
hsbc downplay,0.0007496920109736164
law,0.000749219572010749
diageo receives,0.0007492074451326947
severn,0.0007489983850086051
centrica extends,0.0007489899779259825
amazon,0.0007482360986906621
britvic,0.0007480532264102126
raising,0.0007464075184174324
in february,0.0007463978996975016
plan to,0.0007461305213481618
solid,0.0007455944838669352
law taking,0.0007455083819691884
full,0.0007447238723361586
would,0.0007440163590526266
recall,0.0007433674512936059
beverage business,0.000742355922629263
of england,0.0007418424682965451
england stress,0.0007413635329490399
bank to,0.000741311452143455
ice says,0.0007409632918178699
ftse bounces,0.0007399815914942211
in us,0.0007399403252207078
kraft cadbury,0.0007396733020557949
back mondi,0.0007388186257163469
mondi,0.0007386554204665651
expects gain,0.0007386364940318215
as chairman,0.0007384264404366856
