date,industry,sent_mean
2025-04-15,Financial Services,0.6666666666666666
2025-04-15,Healthcare,0.6666666666666666
2025-04-15,Industrials,-0.3333333333333333
2025-04-15,Real Estate,0.0
2025-04-15,Utilities,0.6666666666666666
2025-04-17,Services,0.0
2025-04-21,Services,-1.0
2025-04-22,Communication Services,-0.3333333333333333
2025-04-22,Consumer Cyclical,-1.0
2025-04-22,Energy,0.0
2025-04-22,Financial Services,0.6666666666666666
2025-04-22,Healthcare,0.0
2025-04-22,Industrials,-0.3333333333333333
2025-04-22,Real Estate,0.6666666666666666
2025-04-22,Utilities,0.6666666666666666
2025-04-27,Services,1.0
2025-04-29,Communication Services,0.6666666666666666
2025-04-29,Consumer Cyclical,-0.3333333333333333
2025-04-29,Energy,0.3333333333333333
2025-04-29,Financial Services,0.3333333333333333
2025-04-29,Healthcare,0.5
2025-04-29,Industrials,0.6666666666666666
2025-04-29,Real Estate,1.0
2025-04-29,Utilities,0.0
2025-05-02,Healthcare,0.0
2025-05-02,Technology,0.3076923076923077
2025-05-03,Technology,0.8
2025-05-04,Industrials,1.0
2025-05-04,Technology,0.6666666666666666
2025-05-05,Consumer Defensive,1.0
2025-05-05,Services,0.5
2025-05-05,Technology,0.4
2025-05-06,Communication Services,0.0
2025-05-06,Consumer Cyclical,0.3333333333333333
2025-05-06,Energy,0.6666666666666666
2025-05-06,Financial Services,1.0
2025-05-06,Healthcare,0.3333333333333333
2025-05-06,Industrials,0.3333333333333333
2025-05-06,Real Estate,0.6666666666666666
2025-05-06,Services,1.0
2025-05-06,Technology,0.5384615384615384
2025-05-06,Utilities,0.3333333333333333
2025-05-07,Basic Materials,1.0
2025-05-07,Technology,0.3333333333333333
2025-05-08,Technology,0.38461538461538464
2025-05-09,Healthcare,1.0
2025-05-09,Technology,0.2857142857142857
2025-05-10,Technology,1.0
2025-05-11,Consumer Cyclical,1.0
2025-05-11,Services,0.0
2025-05-11,Technology,0.2
2025-05-12,Services,1.0
2025-05-12,Technology,0.3333333333333333
2025-05-13,Communication Services,0.0
2025-05-13,Consumer Cyclical,0.0
2025-05-13,Energy,0.3333333333333333
2025-05-13,Financial Services,1.0
2025-05-13,Healthcare,1.0
2025-05-13,Industrials,0.6666666666666666
2025-05-13,Real Estate,1.0
2025-05-13,Services,1.0
2025-05-13,Technology,0.4444444444444444
2025-05-13,Utilities,0.6666666666666666
2025-05-14,Communication Services,1.0
2025-05-14,Healthcare,-1.0
2025-05-14,Technology,0.35294117647058826
2025-05-15,Communication Services,0.0
2025-05-15,Consumer Cyclical,1.0
2025-05-15,Services,0.0
2025-05-15,Technology,0.4166666666666667
2025-05-18,Services,1.0
2025-05-19,Services,1.0
2025-05-20,Communication Services,0.0
2025-05-20,Consumer Cyclical,-0.3333333333333333
2025-05-20,Energy,1.0
2025-05-20,Financial Services,0.0
2025-05-20,Healthcare,0.6666666666666666
2025-05-20,Industrials,1.0
2025-05-20,Real Estate,1.0
2025-05-20,Utilities,0.6666666666666666
2025-05-27,Communication Services,0.6666666666666666
2025-05-27,Consumer Cyclical,0.3333333333333333
2025-05-27,Energy,1.0
2025-05-27,Financial Services,0.6666666666666666
2025-05-27,Healthcare,-0.3333333333333333
2025-05-27,Industrials,1.0
2025-05-27,Real Estate,0.3333333333333333
2025-05-27,Services,-1.0
2025-05-27,Utilities,1.0
2025-05-31,Technology,0.75
2025-06-01,Technology,0.3333333333333333
2025-06-02,Financial Services,-1.0
2025-06-02,Technology,0.36363636363636365
2025-06-03,Communication Services,1.0
2025-06-03,Consumer Cyclical,0.75
2025-06-03,Energy,0.6666666666666666
2025-06-03,Financial Services,1.0
2025-06-03,Healthcare,0.75
2025-06-03,Industrials,0.0
2025-06-03,Real Estate,0.6666666666666666
2025-06-03,Services,0.3333333333333333
2025-06-03,Technology,0.2857142857142857
2025-06-03,Utilities,0.6666666666666666
2025-06-04,Communication Services,-1.0
2025-06-04,Healthcare,-1.0
2025-06-04,Technology,0.5714285714285714
2025-06-05,Consumer Defensive,1.0
2025-06-05,Financial Services,-1.0
2025-06-05,Technology,0.125
2025-06-06,Consumer Cyclical,0.5
2025-06-06,Technology,0.36363636363636365
2025-06-07,Technology,0.75
2025-06-08,Communication Services,1.0
