method,frac_removed,prob,example_idx
IG,0.5,0.9063365459442139,49
IG,0.0,0.935104250907898,50
IG,0.1,0.1775897741317749,50
IG,0.3,0.043367497622966766,50
IG,0.5,0.02155037596821785,50
IG,0.0,0.898722767829895,51
IG,0.1,0.758000373840332,51
IG,0.3,0.5496879816055298,51
IG,0.5,0.46733057498931885,51
IG,0.0,0.8823767304420471,52
IG,0.1,0.8747820854187012,52
IG,0.3,0.8848565220832825,52
IG,0.5,0.687402606010437,52
IG,0.0,0.9341646432876587,53
IG,0.1,0.9328601956367493,53
IG,0.3,0.9222435355186462,53
IG,0.5,0.9186697006225586,53
IG,0.0,0.9075518846511841,54
IG,0.1,0.5883024334907532,54
IG,0.3,0.5962464213371277,54
IG,0.5,0.5920440554618835,54
IG,0.0,0.5510573387145996,55
IG,0.1,0.12477319687604904,55
IG,0.3,0.11443376541137695,55
IG,0.5,0.06341274827718735,55
IG,0.0,0.9251002073287964,56
IG,0.1,0.9052941799163818,56
IG,0.3,0.9116343855857849,56
IG,0.5,0.9461985230445862,56
IG,0.0,0.9307866096496582,57
IG,0.1,0.9316955804824829,57
IG,0.3,0.9324460029602051,57
IG,0.5,0.9223963618278503,57
IG,0.0,0.9322389960289001,58
IG,0.1,0.08915787935256958,58
IG,0.3,0.3067830502986908,58
IG,0.5,0.05885032191872597,58
IG,0.0,0.9348743557929993,59
IG,0.1,0.944403350353241,59
IG,0.3,0.94145667552948,59
IG,0.5,0.9489506483078003,59
IG,0.0,0.7185094356536865,60
IG,0.1,0.21873043477535248,60
IG,0.3,0.380147248506546,60
IG,0.5,0.23357801139354706,60
IG,0.0,0.14912503957748413,61
IG,0.1,0.04329628124833107,61
IG,0.3,0.0831565260887146,61
IG,0.5,0.10521461069583893,61
IG,0.0,0.5650428533554077,62
IG,0.1,0.5596305131912231,62
IG,0.3,0.6774486899375916,62
IG,0.5,0.7774673104286194,62
IG,0.0,0.6714573502540588,63
IG,0.1,0.650790810585022,63
IG,0.3,0.626463770866394,63
IG,0.5,0.7784557342529297,63
IG,0.0,0.9456166625022888,64
IG,0.1,0.8870445489883423,64
IG,0.3,0.08376692980527878,64
IG,0.5,0.04220333695411682,64
IG,0.0,0.35824820399284363,65
IG,0.1,0.1509680449962616,65
IG,0.3,0.8909489512443542,65
IG,0.5,0.9226712584495544,65
IG,0.0,0.9721536636352539,66
IG,0.1,0.969524621963501,66
IG,0.3,0.9693436622619629,66
IG,0.5,0.5932840704917908,66
IG,0.0,0.866108775138855,67
IG,0.1,0.650002121925354,67
IG,0.3,0.26494359970092773,67
IG,0.5,0.23525318503379822,67
IG,0.0,0.932027280330658,68
IG,0.1,0.8980351090431213,68
IG,0.3,0.923784077167511,68
IG,0.5,0.9088432788848877,68
IG,0.0,0.9041194319725037,69
IG,0.1,0.8780051469802856,69
IG,0.3,0.6750990152359009,69
IG,0.5,0.6691552996635437,69
IG,0.0,0.9132124781608582,70
IG,0.1,0.846580445766449,70
IG,0.3,0.05231902375817299,70
IG,0.5,0.008827252313494682,70
IG,0.0,0.5586017966270447,71
IG,0.1,0.8559497594833374,71
IG,0.3,0.5487410426139832,71
IG,0.5,0.7751734852790833,71
IG,0.0,0.9447265863418579,72
IG,0.1,0.9452664256095886,72
IG,0.3,0.9412088990211487,72
IG,0.5,0.9349423050880432,72
IG,0.0,0.9024976491928101,73
IG,0.1,0.763684868812561,73
IG,0.3,0.7123016119003296,73
IG,0.5,0.1762736737728119,73
IG,0.0,0.4583929181098938,74
IG,0.1,0.1295306533575058,74
IG,0.3,0.04287884384393692,74
IG,0.5,0.0685507133603096,74
IG,0.0,0.9663037061691284,75
IG,0.1,0.0855049192905426,75
IG,0.3,0.03792935237288475,75
IG,0.5,0.02279517613351345,75
IG,0.0,0.9452815651893616,76
IG,0.1,0.9429434537887573,76
IG,0.3,0.9427280426025391,76
IG,0.5,0.9304971098899841,76
IG,0.0,0.9173691868782043,77
IG,0.1,0.0869666337966919,77
IG,0.3,0.053079765290021896,77
IG,0.5,0.0941031202673912,77
IG,0.0,0.9328107833862305,78
IG,0.1,0.9229389429092407,78
IG,0.3,0.7567190527915955,78
IG,0.5,0.6485542058944702,78
IG,0.0,0.5458218455314636,79
IG,0.1,0.3410578966140747,79
IG,0.3,0.2953236401081085,79
IG,0.5,0.3490352928638458,79
LIME,0.0,0.1799275130033493,0
LIME,0.1,0.3833796977996826,0
LIME,0.3,0.2618066370487213,0
LIME,0.5,0.2100389301776886,0
LIME,0.0,0.06274929642677307,1
LIME,0.1,0.029705550521612167,1
LIME,0.3,0.02622443065047264,1
LIME,0.5,0.09948292374610901,1
LIME,0.0,0.24164730310440063,2
LIME,0.1,0.798372745513916,2
LIME,0.3,0.8994295597076416,2
LIME,0.5,0.8022251725196838,2
LIME,0.0,0.7208147048950195,3
LIME,0.1,0.2529425323009491,3
LIME,0.3,0.44195622205734253,3
LIME,0.5,0.647165834903717,3
LIME,0.0,0.018682852387428284,4
LIME,0.1,0.019623668864369392,4
LIME,0.3,0.023012589663267136,4
